"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 17:29:31 GMT 2024","Wed Jul 17 17:29:33 GMT 2024","2022","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Wed Jul 17 17:29:35 GMT 2024","Wed Jul 17 17:29:36 GMT 2024","1066","test","test_hootel","TestHootel","","","test_hotel_list",""
